Frame         Time          Elec          VdW           Nonbond       Total         
122           122           -101.36       -59.0952      -160.455      -160.455      
123           123           -103.081      -60.7683      -163.849      -163.849      
124           124           -110.581      -52.7366      -163.318      -163.318      
125           125           -115.562      -61.2884      -176.851      -176.851      
126           126           -106.582      -62.1479      -168.73       -168.73       
127           127           -111.2        -60.9246      -172.124      -172.124      
128           128           -123.065      -59.0817      -182.146      -182.146      
129           129           -96.2724      -56.9247      -153.197      -153.197      
130           130           -108.049      -53.4411      -161.49       -161.49       
131           131           -89.1275      -59.0684      -148.196      -148.196      
132           132           -107.689      -62.5942      -170.283      -170.283      
133           133           -104.883      -57.9022      -162.785      -162.785      
134           134           -113.763      -57.5899      -171.353      -171.353      
135           135           -110.06       -57.2659      -167.326      -167.326      
136           136           -116.255      -59.4442      -175.699      -175.699      
137           137           -107.799      -59.7381      -167.537      -167.537      
138           138           -112.462      -59.2259      -171.688      -171.688      
139           139           -116.332      -56.8717      -173.204      -173.204      
140           140           -116.038      -55.0248      -171.063      -171.063      
141           141           -96.6991      -58.9552      -155.654      -155.654      
142           142           -144.611      -58.7777      -203.389      -203.389      
143           143           -121.595      -60.4122      -182.007      -182.007      
144           144           -83.3758      -56.9505      -140.326      -140.326      
145           145           -104.001      -56.569       -160.57       -160.57       
146           146           -119.04       -61.6313      -180.671      -180.671      
147           147           -126.345      -58.2761      -184.621      -184.621      
148           148           -96.5127      -55.3724      -151.885      -151.885      
149           149           -115.595      -62.6965      -178.291      -178.291      
150           150           -105.304      -51.226       -156.53       -156.53       
151           151           -95.7215      -58.4716      -154.193      -154.193      
152           152           -110.03       -62.8697      -172.9        -172.9        
153           153           -106.573      -58.1366      -164.709      -164.709      
154           154           -98.6494      -57.7438      -156.393      -156.393      
155           155           -105.938      -56.4423      -162.38       -162.38       
156           156           -119.237      -57.6407      -176.877      -176.877      
157           157           -143.539      -58.104       -201.643      -201.643      
158           158           -142.067      -62.1797      -204.246      -204.246      
159           159           -120.372      -57.0504      -177.422      -177.422      
160           160           -114.692      -60.0739      -174.766      -174.766      
161           161           -120.596      -57.8312      -178.428      -178.428      
162           162           -120.748      -61.0906      -181.838      -181.838      
163           163           -111.725      -59.2448      -170.97       -170.97       
164           164           -116.631      -57.433       -174.064      -174.064      
165           165           -135.897      -58.7357      -194.633      -194.633      
166           166           -125.203      -60.9664      -186.169      -186.169      
167           167           -122.424      -61.0951      -183.519      -183.519      
168           168           -110.353      -58.2126      -168.566      -168.566      
169           169           -118.177      -59.4256      -177.603      -177.603      
170           170           -122.987      -57.8818      -180.868      -180.868      
171           171           -115.781      -59.6887      -175.469      -175.469      
172           172           -126.53       -62.6487      -189.179      -189.179      
173           173           -111.707      -58.8316      -170.539      -170.539      
174           174           -117.142      -56.9493      -174.091      -174.091      
175           175           -111.288      -56.7583      -168.047      -168.047      
176           176           -134.837      -57.637       -192.474      -192.474      
177           177           -124.496      -62.1951      -186.692      -186.692      
178           178           -93.7586      -56.3624      -150.121      -150.121      
179           179           -109.019      -56.7127      -165.732      -165.732      
180           180           -120.581      -60.2555      -180.837      -180.837      
181           181           -117.566      -61.5458      -179.112      -179.112      
182           182           -108.197      -57.2961      -165.493      -165.493      
183           183           -83.2863      -54.1411      -137.427      -137.427      
184           184           -81.9724      -51.664       -133.636      -133.636      
185           185           -113.427      -59.6257      -173.053      -173.053      
186           186           -123.951      -59.4832      -183.435      -183.435      
187           187           -88.8425      -56.1371      -144.98       -144.98       
188           188           -112.004      -59.9412      -171.946      -171.946      
189           189           -112.515      -57.2425      -169.757      -169.757      
190           190           -98.8427      -58.0642      -156.907      -156.907      
191           191           -89.8831      -57.1118      -146.995      -146.995      
192           192           -91.5617      -55.251       -146.813      -146.813      
193           193           -89.8166      -52.5046      -142.321      -142.321      
194           194           -78.1025      -53.9484      -132.051      -132.051      
195           195           -112.852      -55.4303      -168.282      -168.282      
196           196           -91.3491      -52.8837      -144.233      -144.233      
197           197           -98.8091      -51.8245      -150.634      -150.634      
198           198           -100.727      -61.5336      -162.26       -162.26       
199           199           -117.225      -59.049       -176.274      -176.274      
200           200           -115.987      -59.7455      -175.732      -175.732      
201           201           -111.062      -58.4242      -169.486      -169.486      
202           202           -106.374      -60.44        -166.814      -166.814      
203           203           -123.161      -55.9921      -179.153      -179.153      
204           204           -116.327      -58.7454      -175.072      -175.072      
205           205           -116.737      -56.5056      -173.242      -173.242      
206           206           -111.101      -56.2396      -167.34       -167.34       
207           207           -104.273      -59.8126      -164.085      -164.085      
208           208           -108.016      -57.9123      -165.928      -165.928      
209           209           -108.238      -59.1255      -167.363      -167.363      
210           210           -132.406      -58.0077      -190.414      -190.414      
211           211           -146.115      -59.6913      -205.806      -205.806      
212           212           -112.469      -56.5899      -169.059      -169.059      
213           213           -102.206      -60.213       -162.419      -162.419      
214           214           -111.151      -59.3201      -170.471      -170.471      
215           215           -135.29       -61.9408      -197.231      -197.231      
216           216           -136.35       -58.6065      -194.956      -194.956      
217           217           -119.909      -60.3273      -180.236      -180.236      
218           218           -140.063      -64.0637      -204.127      -204.127      
219           219           -136.341      -57.5228      -193.864      -193.864      
220           220           -131.984      -59.6036      -191.588      -191.588      
